    Cod    |DIG55500I716170WP1
2069246
    Product link    
https://www.pcgarage.ro/notebook-laptop/dell/gaming-156-g5-5500-fhd-300hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2070-8gb-win-10-pro-interstellar-dark-3yr-cis/
    Name    
DELL Gaming 15.6&#039;&#039; G5 5500, FHD 300Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2070 8GB, Win 10 Pro, Interstellar Dark, 3Yr CIS
    Img url    
https://4.grgs.ro/images/products/1/4917/2069246/thumbnails/gaming-156-g5-5500-fhd-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-win-10-pro-interstellar-dark-2680f0f543258e80c9339882269bbadd.jpg
    Pret    
9/20/2020 10:59:39 PM 8.885,79 RON
9/23/2020 2:12:21 PM 8.885,98 RON
9/25/2020 7:04:11 PM 8.911,40 RON
9/27/2020 6:12:52 PM 8.916,52 RON
9/27/2020 7:43:06 PM 8.916,52 RON
9/29/2020 7:20:15 PM 8.877,57 RON
10/4/2020 9:38:55 PM 8.879,94 RON
10/7/2020 11:24:44 AM 8.879,94 RON
10/15/2020 9:37:08 AM 8.879,94 RON
10/31/2020 10:15:55 AM 8.879,94 RON
11/1/2020 12:02:12 PM 8.879,94 RON
